energy,tempo,danceability,loudness,liveness,valence,time_signature,speechiness,track_popularity,mode,key,duration_ms,acousticness
0.944,105.338,0.394,-6.506,0.298,0.265,4,0.0761,77,0,10,292581,0.00178
0.952,122.093,0.398,-6.042,0.1,0.584,4,0.061,72,1,4,278680,0.000373
0.917,171.176,0.356,-6.006,0.406,0.518,4,0.0479,79,1,9,357267,0.0335
0.589,124.634,0.455,-8.64,0.104,0.254,4,0.0328,75,1,11,283733,0.00184
0.805,113.253,0.438,-6.237,0.0842,0.564,4,0.0624,72,1,8,240800,0.00255
0.239,189.507,0.446,-13.945,0.0697,0.298,4,0.0316,76,1,0,336453,0.551
0.521,123.118,0.721,-8.123,0.127,0.942,4,0.0613,76,1,2,261413,0.0708
0.67,129.269,0.619,-10.322,0.331,0.777,4,0.0353,71,0,11,211933,0.00165
0.828,105.25,0.539,-9.108,0.154,0.562,4,0.035,70,0,4,515387,0.00067
0.487,114.965,0.73,-10.991,0.0852,0.731,4,0.0303,79,1,4,226653,0.258
0.697,116.109,0.741,-7.028,0.133,0.774,4,0.0277,84,1,0,160133,0.0664
0.579,127.215,0.62,-9.307,0.0858,0.691,4,0.0473,69,1,4,225627,0.0152
0.912,116.761,0.502,-4.556,0.106,0.72,4,0.0564,76,1,1,301920,2.55E-05
0.833,88.785,0.466,-4.215,0.0327,0.661,4,0.304,78,1,7,313573,0.0266
0.376,164.775,0.53,-11.913,0.0926,0.188,4,0.04,75,0,9,259947,0.0304
0.786,126.755,0.482,-5.735,0.446,0.793,4,0.032,73,1,7,323000,0.00321
0.789,129.802,0.674,-6.903,0.0753,0.918,4,0.0676,78,1,8,121160,0.00178
0.441,81.334,0.519,-14.178,0.076,0.25,4,0.0353,76,1,4,234973,0.0204
0.836,113.375,0.743,-6.465,0.384,0.82,4,0.116,80,1,2,188987,0.0804
0.528,109.975,0.932,-6.472,0.163,0.757,4,0.161,71,0,5,214653,0.115
0.905,128.019,0.602,-4.046,0.117,0.411,4,0.0775,75,1,2,304840,0.000202
0.519,98.883,0.653,-10.164,0.101,0.822,4,0.0497,76,1,2,153693,0.406
0.946,138.18,0.454,-5.978,0.173,0.647,4,0.13,68,0,1,156147,0.0223
0.828,105.435,0.35,-5.373,0.0774,0.147,4,0.041,76,1,6,318587,0.000217
0.349,124.348,0.489,-14.295,0.0866,0.622,4,0.0323,70,0,2,196467,0.676
0.872,159.925,0.587,-5.066,0.622,0.735,4,0.0484,73,1,7,221333,0.018
0.808,151.008,0.577,-7.04,0.221,0.869,4,0.039,75,0,1,290280,0.0338
0.758,112.113,0.489,-6.491,0.092,0.435,4,0.0297,72,1,7,371413,0.000678
0.932,112.937,0.564,-10.068,0.349,0.619,4,0.0554,75,1,11,146250,0.013
0.338,177.765,0.388,-10.054,0.248,0.478,4,0.0329,76,1,10,303373,0.652
0.7,188.386,0.31,-5.678,0.0828,0.763,4,0.047,83,1,9,255493,0.011
0.691,137.145,0.548,-13.553,0.144,0.667,4,0.0369,74,0,4,261933,0.015
0.532,136.576,0.601,-9.119,0.0925,0.342,4,0.0286,79,1,10,281613,0.433
0.641,203.006,0.256,-10.283,0.0853,0.382,4,0.0552,79,1,1,281160,0.199
0.755,109.535,0.667,-7.246,0.0523,0.883,4,0.069,68,1,9,286220,0.0966
0.373,92.718,0.671,-18.064,0.0481,0.732,4,0.0323,83,1,9,295893,0.257
0.927,141.466,0.333,-8.55,0.297,0.385,4,0.0733,75,0,9,308120,0.0029
0.787,126.879,0.767,-9.897,0.0513,0.964,4,0.0331,77,1,3,266200,0.0163
0.366,127.163,0.472,-12.595,0.0837,0.171,4,0.0286,71,0,11,382297,0.15
0.864,81.394,0.437,-7.842,0.242,0.749,4,0.0904,69,0,4,295387,0.396
0.584,170.411,0.509,-4.907,0.384,0.685,4,0.057,69,1,0,278747,0.0368
0.912,117.399,0.575,-7.275,0.0562,0.843,4,0.0393,69,0,7,207267,0.0916
0.611,85.387,0.654,-10.45,0.405,0.786,4,0.119,69,1,2,235000,0.0337
0.482,138.453,0.529,-11.709,0.0842,0.492,4,0.0599,74,0,4,516893,0.7
0.748,134.114,0.618,-8.905,0.0473,0.663,4,0.358,77,1,0,191947,0.0384
0.7,147.245,0.586,-9.558,0.0318,0.897,4,0.0363,69,1,0,295400,0.0589
0.318,104.522,0.575,-16.729,0.0934,0.385,4,0.109,74,1,0,254173,0.683
0.706,80.823,0.445,-9.803,0.205,0.768,4,0.0461,70,1,8,266720,0.234
0.913,115.728,0.574,-4.793,0.156,0.423,4,0.133,84,0,6,208400,0.061
0.495,124.936,0.532,-6.662,0.0754,0.308,4,0.0343,79,1,10,214240,0.659
0.875,75.009,0.284,-6.069,0.402,0.595,4,0.0422,73,0,11,340907,0.00752
0.737,103.867,0.662,-9.54,0.119,0.744,4,0.0296,69,1,0,329800,0.108
0.936,91.577,0.666,-9.919,0.153,0.776,4,0.0476,72,1,7,282907,0.00244
0.432,94.605,0.475,-7.844,0.161,0.648,4,0.0302,79,1,7,153467,0.183
0.549,176.941,0.516,-13.741,0.184,0.907,4,0.0373,73,1,6,288733,0.501
0.751,89.839,0.421,-9.584,0.17,0.789,4,0.0472,72,1,9,145867,0.2
0.938,168.131,0.324,-7.332,0.0961,0.543,4,0.102,71,0,6,178440,0.032
0.953,84.989,0.267,-4.899,0.283,0.568,4,0.096,72,0,1,267307,0.00211
0.919,135.997,0.465,-4.025,0.262,0.537,4,0.0408,73,1,4,235293,1.83E-05
0.58,127.402,0.741,-9.05,0.212,0.944,4,0.0304,70,1,4,171267,0.117
0.72,121.864,0.404,-9.18,0.0466,0.475,4,0.0623,73,0,10,258467,5.59E-05
0.927,170.814,0.215,-7.327,0.126,0.49,4,0.0452,72,1,9,194853,0.000273
0.801,133.769,0.651,-7.34,0.0825,0.776,4,0.0514,70,1,0,200480,0.123
0.262,122.861,0.481,-15.73,0.832,0.375,4,0.0414,75,1,7,334744,0.735
0.449,84.383,0.623,-13.333,0.0613,0.573,4,0.0253,75,1,5,256000,0.212
0.476,148.117,0.389,-9.342,0.255,0.566,4,0.0316,73,1,9,217107,0.619
0.978,141.167,0.526,-5.436,0.0744,0.451,4,0.108,72,1,8,210227,0.00122
0.842,100.127,0.297,-7.457,0.0848,0.586,4,0.0488,72,1,6,206773,0.000286
0.944,146.347,0.27,-4.199,0.116,0.606,4,0.0975,70,1,4,269920,0.00501
0.182,136.094,0.349,-13.507,0.143,0.178,3,0.031,69,1,5,191973,0.92
0.164,58.303,0.136,-18.756,0.109,0.071,4,0.0364,68,0,4,166867,0.911
0.00527,170.612,0.184,-37.264,0.173,0.151,3,0.0432,68,0,1,315427,0.995
0.449,92.468,0.447,-10.634,0.0697,0.036,4,0.0376,75,1,2,315427,0.934
0.812,80.09,0.505,-3.986,0.444,0.664,4,0.461,88,1,1,255916,0.285
0.507,130.007,0.872,-6.323,0.111,0.506,4,0.072,76,0,4,158667,0.195
0.802,128.085,0.835,-4.286,0.0882,0.374,4,0.243,71,1,7,143778,0.0311
0.533,120.011,0.794,-8.206,0.207,0.15,4,0.0591,73,1,9,179023,0.14
0.722,119.973,0.769,-5.485,0.111,0.57,4,0.0507,92,0,11,256000,0.0584
0.684,166.976,0.832,-4.691,0.229,0.68,4,0.359,78,1,1,149461,0.00449
0.642,111.907,0.65,-5.332,0.0855,0.186,4,0.04,70,1,2,127154,0.00502
0.699,129.054,0.92,-6.635,0.0745,0.484,4,0.358,72,1,11,138180,0.00768
0.628,119.98,0.757,-6.715,0.221,0.321,4,0.101,85,0,4,217333,0.189
0.709,78.53,0.749,-6.385,0.329,0.564,4,0.259,73,1,6,181166,0.155
0.69,125.951,0.853,-5.858,0.0835,0.471,4,0.0647,78,1,10,137143,0.0771
0.754,131.001,0.863,-5.851,0.0913,0.301,4,0.0611,77,1,11,139197,0.00125
0.4,106.682,0.608,-9.519,0.119,0.089,5,0.32,69,1,1,159228,0.029
0.509,157.94,0.662,-9.159,0.266,0.549,4,0.322,70,1,1,136709,0.247
0.663,143.082,0.76,-4.763,0.305,0.209,4,0.0551,81,0,9,148053,0.109
0.761,147.216,0.649,-4.204,0.207,0.313,4,0.152,73,1,8,150204,0.00694
0.663,184.057,0.672,-5.984,0.134,0.381,4,0.243,76,1,3,138324,0.112
0.681,114.991,0.884,-5.839,0.277,0.324,4,0.149,69,1,8,184294,0.0439
0.723,139.942,0.783,-4.881,0.159,0.294,4,0.135,76,1,1,278001,0.0264
0.831,139.905,0.652,-5.972,0.269,0.648,4,0.264,68,0,10,150997,0.0111
0.525,75.013,0.776,-6.723,0.108,0.467,4,0.137,70,1,1,217613,0.0366
0.5,63.925,0.427,-8.269,0.127,0.269,5,0.141,76,1,0,180000,0.286
0.586,125.845,0.731,-7.564,0.0987,0.147,4,0.172,77,0,1,199165,0.116
0.552,144.941,0.64,-5.679,0.119,0.112,4,0.129,84,1,2,228267,0.0215
0.472,101.061,0.898,-7.001,0.141,0.214,4,0.0776,88,1,1,274192,0.0107
0.859,129.77,0.77,-3.382,0.673,0.64,4,0.275,85,0,10,207273,0.362
0.685,121.991,0.731,-4.707,0.0865,0.458,4,0.12,72,0,11,167229,0.054
0.578,124.005,0.916,-6.275,0.113,0.192,4,0.124,74,1,11,159894,0.00349
0.574,146.007,0.694,-6.144,0.082,0.286,4,0.0483,79,0,1,126356,0.193
0.867,131.041,0.902,-3.108,0.142,0.799,4,0.225,68,0,10,132338,0.0678
0.692,140.203,0.637,-7.231,0.345,0.427,4,0.164,73,0,1,164366,0.0153
0.478,104.563,0.675,-10.201,0.127,0.39,4,0.512,69,1,1,210286,0.0731
0.878,82.557,0.661,-4.099,0.381,0.514,4,0.31,87,1,1,165413,0.00289
0.396,78.022,0.726,-9.121,0.527,0.413,4,0.283,73,0,5,197428,0.269
0.711,117.038,0.974,-5.206,0.0888,0.328,4,0.194,72,0,11,126832,0.0988
0.527,77.499,0.824,-5.506,0.368,0.212,4,0.118,74,1,8,155391,0.149
0.752,158.042,0.638,-6.227,0.17,0.242,4,0.0385,72,0,1,170188,0.0066
0.826,108.52,0.654,-2.93,0.131,0.417,5,0.354,71,0,6,256227,0.0153
0.472,101.061,0.898,-7.001,0.141,0.214,4,0.0776,88,1,1,274192,0.0107
0.764,140.113,0.882,-5.241,0.119,0.886,4,0.204,81,1,11,140733,0.359
0.552,144.941,0.64,-5.679,0.119,0.112,4,0.129,84,1,2,228267,0.0215
0.632,123.987,0.848,-7.381,0.282,0.253,4,0.277,68,1,2,171198,0.398
0.805,142.096,0.548,-5.732,0.408,0.649,4,0.351,76,1,7,216387,0.212
0.631,121.854,0.772,-5.082,0.129,0.433,4,0.0431,70,1,10,173253,0.0648
0.702,125.089,0.871,-8.025,0.0912,0.675,4,0.253,69,1,5,131286,0.296
0.57,142.974,0.787,-5.881,0.135,0.733,4,0.225,69,1,3,223879,0.0449
0.583,116.624,0.709,-5.298,0.195,0.533,4,0.204,79,0,5,182667,0.138
0.592,159.98,0.82,-7.002,0.121,0.4,4,0.29,78,1,1,196180,0.0149
0.68,144.006,0.85,-6.18,0.0964,0.694,1,0.338,70,0,3,173333,0.732
0.758,165.409,0.681,-6.524,0.555,0.331,4,0.188,73,1,1,220584,0.00465
0.413,131.964,0.772,-8.194,0.111,0.211,4,0.0891,77,0,0,246213,0.0361
0.658,151.951,0.752,-6.297,0.0927,0.387,4,0.342,70,1,0,213520,0.0421
0.732,142.791,0.548,-5.652,0.269,0.612,4,0.336,71,0,11,127547,0.125
0.676,143.477,0.594,-5.808,0.163,0.472,4,0.344,69,1,2,181145,0.135
0.618,99.7,0.49,-5.655,0.259,0.286,4,0.104,68,1,1,201600,0.0221
0.35,77.528,0.822,-12.207,0.0757,0.346,4,0.574,68,0,1,186000,0.0213
0.946,150.141,0.804,-5.949,0.359,0.745,4,0.352,70,1,7,146880,0.002
0.626,143.01,0.819,-4.574,0.167,0.415,4,0.202,78,0,10,195906,0.00748
0.592,188.051,0.696,-6.281,0.127,0.232,4,0.319,72,1,1,122680,0.152
0.547,138.05,0.92,-4.98,0.0998,0.606,4,0.272,70,0,6,89536,0.0241
0.395,76.984,0.793,-5.578,0.109,0.128,4,0.385,69,1,1,213287,0.277
0.774,130.007,0.867,-5.791,0.157,0.549,4,0.315,69,0,11,142498,0.11
0.449,136.006,0.578,-6.349,0.119,0.1,4,0.286,73,1,1,192956,0.0618
0.673,165.921,0.529,-4.711,0.093,0.366,4,0.175,80,1,0,218365,0.000307
0.73,156.953,0.729,-5.14,0.118,0.41,4,0.261,75,0,11,191399,0.00165
0.487,127.05,0.964,-6.071,0.115,0.108,4,0.421,77,0,10,154024,0.00127
0.732,149.012,0.841,-5.186,0.136,0.576,4,0.19,73,0,7,143480,0.0115
0.611,134.093,0.711,-5.453,0.23,0.144,4,0.33,79,1,1,252262,0.00588
0.733,130.029,0.847,-6.439,0.151,0.202,4,0.16,80,0,10,193591,0.00574
0.48,143.029,0.846,-8.618,0.0989,0.419,4,0.359,68,0,8,169532,0.269
0.575,120.031,0.88,-6.091,0.109,0.671,4,0.163,71,1,6,232048,0.415
0.727,150.062,0.477,-4.053,0.108,0.227,4,0.286,70,1,2,236524,0.000866
0.495,137.027,0.853,-14.63,0.0844,0.0774,4,0.14,68,1,6,243228,0.0917
0.434,150.062,0.833,-8.795,0.165,0.281,4,0.431,81,1,2,204600,0.0102
0.564,77.972,0.856,-6.295,0.134,0.483,4,0.392,70,0,6,135960,0.00327
