artists,track_name,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,0.568,0.686,-6.635,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
Highland Peak,Trampoline - Acoustic,46,213098,0.596,0.2,-10.424,0.0305,0.91,0.000183,0.0884,0.308,107.893,4
Motohiro Hata,透明だった世界,61,232360,0.373,0.914,-4.185,0.0565,0.076,0,0.669,0.56,168.21,4
Andrew Belle,Pieces,60,241119,0.494,0.652,-5.863,0.0314,0.0754,0.00256,0.125,0.298,137.018,4
Ron Pope,A Drop in the Ocean,68,220239,0.447,0.393,-8.65,0.038,0.785,0,0.28,0.564,73.139,3
Adam Christopher,So Far Away - Acoustic,52,171543,0.576,0.331,-9.389,0.0306,0.894,3.44E-05,0.129,0.407,149.02,4
Andrew Belle,The Enemy,62,286865,0.536,0.89,-5.222,0.0375,0.078,0.0202,0.131,0.273,121.974,4
Aron Wright,Build It Better,51,234473,0.526,0.333,-13.02,0.0314,0.91,0.168,0.111,0.159,94.951,4
Chord Overstreet,Sleepwalking in the Rain,0,216000,0.501,0.381,-9.448,0.036,0.687,0.00133,0.119,0.502,80.075,4
Sara Bareilles,Gravity,67,232760,0.27,0.275,-10.357,0.0356,0.834,0,0.146,0.231,168.964,4
Chord Overstreet,What's Left of You,57,178600,0.731,0.507,-6.477,0.046,0.572,0,0.0912,0.265,117.969,4
Zack Tabudlo,Pano,75,254400,0.375,0.457,-7.018,0.0315,0.868,0.0145,0.191,0.415,174.839,3
Andrew Belle,Sky's Still Blue,62,244320,0.43,0.791,-5.419,0.0302,0.0726,0.0193,0.11,0.217,171.864,4
Kurt Cobain,And I Love Her,66,124933,0.616,0.282,-15.317,0.0331,0.983,0.833,0.13,0.435,96.638,4
Boyce Avenue;Bea Miller,We Can't Stop,64,222146,0.705,0.347,-8.249,0.0301,0.674,0,0.12,0.36,80.057,4
Tim Halperin,Always Be My Baby,62,181852,0.582,0.255,-10.254,0.0306,0.772,0,0.0889,0.285,139.884,4
Canyon City,Alone with You,58,186584,0.549,0.274,-12.565,0.0379,0.798,6.63E-06,0.103,0.207,86.664,4
Aaron Espe,Making All Things New,65,159600,0.787,0.355,-11.429,0.0288,0.896,0.0201,0.111,0.48,99.978,4
Sara Bareilles,She Used To Be Mine,67,250266,0.397,0.303,-7.508,0.0435,0.381,0,0.101,0.172,81.05,4
Andrew Belle,In My Veins - Feat. Erin Mccarley,65,318908,0.548,0.42,-7.842,0.0277,0.198,4.46E-06,0.0899,0.196,128.012,4
Tyler Ward,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,0.787,0.403,-11.989,0.033,0.603,0.00857,0.131,0.264,118.042,4
Ron Pope,A Drop In the Ocean,55,219480,0.484,0.573,-6.183,0.0298,0.0882,1.14E-06,0.15,0.346,139.966,3
Five For Fighting,Superman (It's Not Easy),70,221693,0.382,0.416,-9.303,0.0302,0.0733,0,0.0719,0.125,102.089,4
Andrew Belle,When the End Comes,57,354400,0.541,0.575,-9.463,0.0491,0.677,0.215,0.102,0.428,91.98,4
Bailey Jehl,You're Still The One,56,177500,0.607,0.473,-8.555,0.034,0.712,0,0.66,0.54,119.698,4
Ingrid Michaelson,Light Me Up,56,247840,0.417,0.595,-7.84,0.0396,0.158,0.000269,0.101,0.117,147.928,4
Jason Mraz,93 Million Miles,67,216386,0.572,0.454,-10.286,0.0258,0.477,1.37E-05,0.0974,0.515,140.182,4
A Great Big World,Kaleidoscope,62,229320,0.709,0.913,-5.148,0.0748,0.0182,0,0.167,0.519,108.024,4
Eddie Vedder;Nusrat Fateh Ali Khan,The Long Road,45,330933,0.537,0.342,-13.553,0.0273,0.645,0.266,0.0687,0.253,109.236,4
Drew Holcomb & The Neighbors,What Would I Do Without You,64,172213,0.602,0.336,-11.106,0.0369,0.883,0.0017,0.143,0.335,90.894,4
Jason Mraz,Have It All,65,226106,0.643,0.638,-4.947,0.0407,0.204,0,0.0707,0.6,82.001,4
Gabrielle Aplin,Heavy Heart,0,235173,0.451,0.7,-6.597,0.0431,0.455,0.00233,0.405,0.37,150.055,4
Gabrielle Aplin,The House We Never Built,0,195213,0.546,0.391,-10.786,0.063,0.784,2.72E-06,0.0552,0.202,139.669,4
Eddie Vedder,Society,68,236306,0.561,0.327,-10.835,0.0327,0.902,0.000469,0.111,0.298,161.858,4
Gabrielle Aplin,Please Don't Say You Love Me,0,181400,0.479,0.541,-9.862,0.0543,0.74,0,0.108,0.3,85.994,4
Gabrielle Aplin,Please Don't Say You Love Me,0,181400,0.479,0.541,-9.862,0.0543,0.74,0,0.108,0.3,85.994,4
Eddie Vedder,Guaranteed,61,164500,0.436,0.4,-11.485,0.0272,0.904,0.00105,0.125,0.351,100.734,4
Sara Bareilles,Brave,70,220573,0.551,0.836,-3.838,0.0524,0.00502,2.10E-05,0.0425,0.758,185.063,4
KT Tunstall,Lonely This Christmas,0,257493,0.409,0.153,-10.74,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4
KT Tunstall,Lonely This Christmas,0,257493,0.409,0.153,-10.74,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4
Five For Fighting,Heaven Knows,62,210612,0.6,0.845,-7.076,0.0311,0.048,0,0.24,0.392,97.631,4
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
KT Tunstall,Fairytale Of New York,0,263866,0.447,0.555,-6.018,0.0349,0.218,3.46E-06,0.124,0.33,117.888,3
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,-14.504,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
KT Tunstall,Hold On,0,177613,0.661,0.937,-5.157,0.0979,0.322,1.04E-06,0.19,0.805,105.549,4
KT Tunstall,Suddenly I See,0,199040,0.603,0.78,-5.531,0.0438,0.139,0,0.164,0.693,100.499,4
Motohiro Hata,Rain,58,293040,0.626,0.655,-6.69,0.0263,0.503,0,0.13,0.542,92.003,4
Callum J Wright,Somebody Else - Acoustic,50,138495,0.794,0.38,-8.769,0.0477,0.762,0,0.262,0.617,114.99,4
Andrew Belle,Pieces (Hushed),59,198626,0.52,0.279,-10.739,0.0547,0.894,0.000105,0.103,0.0951,69.642,4
Boyce Avenue;Fifth Harmony,Mirrors,57,292566,0.545,0.658,-7.174,0.0474,0.496,0,0.105,0.683,76.971,4
Boyce Avenue,Stand by Me,60,199019,0.728,0.266,-7.322,0.0293,0.872,1.03E-05,0.114,0.307,115.189,4
Gabrielle Aplin;JP Cooper,Losing Me,61,181760,0.66,0.407,-8.381,0.0571,0.236,0,0.109,0.257,133.86,4
Mone Kamishiraishi,なんでもないや - movie ver.,49,349920,0.357,0.161,-10.667,0.0388,0.971,1.40E-05,0.358,0.325,83.449,4
John Adams,You’re Beautiful - Acoustic,55,204973,0.479,0.154,-11.282,0.0352,0.915,0,0.0974,0.36,147.207,4
Kitri,Hikare Inochi,51,322146,0.592,0.769,-5.268,0.0311,0.319,4.66E-06,0.137,0.385,102.033,4
Tyler Ward,How To Lose a Girl,46,210375,0.7,0.454,-10.39,0.0388,0.55,0.0022,0.121,0.34,80.011,3
Boyce Avenue,Can’t Help Falling in Love,57,131000,0.402,0.197,-10.775,0.0295,0.858,1.05E-06,0.114,0.148,100.044,3
Andrew Belle,Dive Deep (Hushed),58,218531,0.507,0.378,-9.019,0.0332,0.852,0.000212,0.0937,0.085,135.86,4
Ben Woodward,When the Party's over (Acoustic Piano),51,195945,0.619,0.226,-13.453,0.0641,0.959,4.42E-05,0.106,0.188,124.96,3
Augustana,Boston,63,245933,0.404,0.571,-5.069,0.0303,0.182,2.08E-05,0.129,0.29,147.01,4
Matthew Perryman Jones,Living in the Shadows,53,212386,0.418,0.79,-6.599,0.0506,0.0284,9.96E-06,0.117,0.197,175.975,4
Boyce Avenue,In Case You Didn’t Know,60,225165,0.633,0.299,-7.798,0.0353,0.833,0,0.109,0.341,147.549,4
Andrew Foy;Renee Foy,death bed (coffee for your head),47,112008,0.565,0.0392,-28.276,0.045,0.835,0.183,0.117,0.601,125.399,4
Kina Grannis,You Are My Sunshine,60,123609,0.664,0.0755,-19.836,0.0389,0.91,0,0.164,0.575,80.004,1
Jason Mraz,I Won't Give Up,66,240165,0.585,0.303,-10.058,0.0398,0.694,0,0.115,0.142,136.703,3
Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,67,265843,0.65,0.271,-11.081,0.0314,0.794,6.90E-05,0.196,0.21,78.036,4
Meg Birch,Only Love Can Hurt Like This,43,194194,0.534,0.213,-8.64,0.0283,0.884,0,0.107,0.0998,98.385,4
Catherine Feeny,Mr Blue,54,154600,0.456,0.386,-10.293,0.032,0.835,0.108,0.389,0.612,165.733,4
Joshua Hyslop,Do Not Let Me Go,60,158960,0.409,0.234,-13.711,0.0323,0.338,5.00E-05,0.0895,0.145,139.832,4
Ross Copperman,Holding On And Letting Go,49,319000,0.502,0.53,-9.573,0.0266,0.805,0.000738,0.0728,0.102,78.046,4
JJ Heller,You Already Know,57,214360,0.496,0.117,-12.884,0.0301,0.933,0,0.126,0.318,78.068,4
Ben Woodward,Believer (Remix),42,204480,0.585,0.724,-6.513,0.0745,0.315,0.0681,0.0448,0.333,187.484,3
Howie Day,Collide - Acoustic Version,67,277000,0.582,0.253,-11.43,0.0259,0.827,2.95E-05,0.091,0.294,90.186,4
Ben Rector,Love Like This,61,214240,0.637,0.14,-11.472,0.0407,0.903,0,0.107,0.392,139.78,4
Matt Nathanson,Come On Get Higher,71,215173,0.672,0.623,-5.699,0.0297,0.241,0,0.0848,0.617,92.018,4
Rachael Yamagata,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",49,296862,0.422,0.272,-10.772,0.0353,0.496,1.07E-05,0.0704,0.113,143.413,4
Parachute,Kiss Me Slowly,61,235813,0.47,0.801,-6.426,0.0352,0.0758,3.53E-05,0.218,0.431,173.92,4
Parachute,Without You,61,228933,0.564,0.864,-5.121,0.0341,0.0761,0,0.182,0.534,95.984,4
Jason Mraz,Absolutely Zero,20,339196,0.521,0.495,-7.756,0.027,0.128,0,0.296,0.116,135.061,4
Jason Mraz,Sleep All Day,22,296843,0.616,0.81,-6.51,0.0668,0.369,0,0.107,0.79,97.994,4
Jason Mraz,You and I Both,35,218240,0.615,0.812,-6.573,0.0458,0.184,0,0.328,0.74,98.954,4
Eddie Vedder,Long Nights,60,151773,0.478,0.305,-13.062,0.0306,0.675,0.00139,0.169,0.0974,108.66,4
Gabrielle Aplin,Please Don't Say You Love Me,59,181400,0.479,0.541,-9.862,0.0545,0.737,0,0.108,0.321,85.994,4
KT Tunstall,Suddenly I See,73,201706,0.587,0.767,-5.713,0.0449,0.225,0,0.112,0.664,100.38,4
Jason Mraz,Who Needs Shelter,22,192260,0.514,0.569,-7.866,0.03,0.601,2.21E-06,0.218,0.264,142.597,4
Jason Mraz,No Stopping Us,19,198855,0.646,0.836,-6.203,0.0327,0.301,3.23E-05,0.29,0.727,105.991,4
Jason Mraz,I'll Do Anything,24,191889,0.57,0.711,-4.155,0.0703,0.119,0,0.352,0.648,163.117,4
JJ Heller,Make You Feel My Love,57,171293,0.678,0.199,-9.785,0.0307,0.957,3.23E-06,0.0968,0.262,72.006,4
Jason Mraz,The Remedy (I Won't Worry),35,256440,0.589,0.867,-4.523,0.0385,0.041,0,0.306,0.795,94.52,4
Jason Mraz,Too Much Food,20,221425,0.626,0.926,-4.441,0.0477,0.0265,0,0.159,0.548,99.997,4
Jason Mraz,The Boy's Gone,18,255047,0.686,0.556,-8.5,0.0271,0.532,0,0.0922,0.36,112.997,4
Jason Mraz,"On Love, in Sadness",19,208793,0.56,0.832,-5.595,0.0352,0.108,0,0.232,0.802,100.957,4
Jason Mraz,Curbside Prophet,23,214552,0.619,0.793,-5.964,0.0661,0.263,0,0.0828,0.892,177.991,4
Jason Mraz,"Tonight, Not Again - Live",19,264280,0.56,0.278,-12.501,0.0921,0.733,0,0.112,0.594,102.187,4
Jason Mraz,"Tonight, Not Again",18,289041,0.595,0.805,-7.926,0.0543,0.0167,1.06E-05,0.0691,0.359,102.44,4
Eddie Vedder,Hard Sun,65,322080,0.438,0.827,-6.531,0.0328,0.0512,0.000402,0.319,0.645,143.377,4
Susie Suh;Robot Koch,Here with Me,55,238971,0.582,0.375,-13.277,0.0329,0.702,0.0631,0.136,0.106,129.909,4
Tyler Ward;Lindsey Stirling;Kina Grannis,The Scientist,47,276575,0.453,0.295,-12.881,0.0291,0.518,0.00011,0.293,0.14,146.022,4
Howie Day,Collide,56,249120,0.636,0.625,-7.895,0.0277,0.222,5.35E-05,0.119,0.342,93.931,4
Eden Elf;Ren Avel,get better,53,111734,0.639,0.201,-16.613,0.0526,0.907,2.26E-05,0.124,0.4,88.107,4
