artists,track_name,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Frank Turner,Bob,30,188952,0.415,0.713,-5.529,0.0345,0.0555,0,0.0811,0.361,83.69,3
Harley Poe,Psycho,30,241250,0.458,0.823,-4.268,0.0616,0.382,0,0.205,0.422,131.638,4
Frank Turner,Perfect Government,30,146129,0.474,0.876,-5.052,0.0341,0.00277,6.15E-06,0.39,0.607,91.948,4
The Bridge City Sinners,The Fear,30,161205,0.444,0.674,-6.675,0.0341,0.586,0.000147,0.109,0.698,111.377,3
Ben Rector,Living My Best Life,59,215213,0.566,0.733,-5.302,0.0699,0.083,1.55E-06,0.362,0.636,178.828,4
Frank Turner,Haven't Been Doing So Well,30,196813,0.367,0.892,-3.91,0.133,0.00012,0.000268,0.276,0.799,81.928,4
The Bridge City Sinners,"The Legend of Olog-hai, Pt. 2",30,184217,0.258,0.729,-6.457,0.0398,0.395,0.00442,0.131,0.462,116.943,3
Brandi Carlile;Lucius,You and Me On The Rock (feat. Lucius),63,230098,0.568,0.686,-6.635,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
Get Dead,Glitch,30,129472,0.571,0.696,-8.688,0.0739,0.14,0,0.0973,0.662,155.133,4
Jonah Baker,A Thousand Years - Acoustic,44,249728,0.385,0.114,-13.005,0.0314,0.917,0,0.128,0.269,93.314,4
Trevor Hall;Marieme,2 Oceans,54,213055,0.588,0.569,-7.721,0.0295,0.303,0.0342,0.101,0.209,101.988,4
Ben Woodward,Golden Hour - Acoustic Piano,28,168571,0.276,0.289,-10.879,0.0325,0.968,0.00321,0.137,0.118,86.465,3
Brandon Chase,Without Me,47,202219,0.664,0.301,-8.135,0.0296,0.739,0,0.103,0.268,115.877,4
Aron Wright,You & Me (The Wildfire),41,242347,0.506,0.24,-14.737,0.0305,0.854,0.0749,0.101,0.0621,130.96,4
Sara Farell,Dancing With A Stranger,43,188735,0.595,0.18,-11.391,0.0298,0.89,0,0.113,0.261,79.922,3
Zack Tabudlo,Pero,65,256648,0.644,0.412,-9.14,0.0307,0.796,0.127,0.0906,0.206,118.49,4
Jonah Baker,Good 4 U (Acoustic),53,174677,0.607,0.178,-15.471,0.0499,0.737,0,0.387,0.422,127.956,4
Greg Laswell,And Then You,47,209583,0.63,0.342,-13.377,0.0245,0.817,0.00432,0.0965,0.552,77.515,4
Daniel Robinson,Here With Me - Acoustic,55,164478,0.689,0.299,-9.431,0.0301,0.833,0,0.115,0.52,96.825,4
Boyce Avenue,I'll Be There For You (Friends Theme),45,138201,0.473,0.305,-8.48,0.0311,0.833,0,0.109,0.524,81.153,4
Zack Tabudlo,Habang Buhay,69,244067,0.62,0.668,-5.719,0.0305,0.088,0,0.362,0.183,118.013,4
Gabrielle Aplin,So Far so Good,37,198040,0.751,0.565,-9.106,0.0513,0.0777,0.0121,0.0855,0.679,119.996,4
Colin & Caroline,More Than Gravity,34,266078,0.62,0.468,-9.648,0.0268,0.715,3.93E-05,0.106,0.217,110.969,4
Andrew Belle,Fade into You,53,291676,0.478,0.398,-10.124,0.0286,0.0222,0.0183,0.0826,0.371,159.906,3
Masaharu Fukuyama,東京にもあったんだ,31,382786,0.376,0.702,-5.733,0.0299,0.00373,0.00116,0.138,0.241,134.817,4
Masaharu Fukuyama,あの夏も 海も 空も,31,322906,0.403,0.631,-5.94,0.0356,0.0502,3.97E-05,0.193,0.328,78.522,4
Bailey Jehl,21 Guns,47,243979,0.44,0.119,-12.574,0.0318,0.927,1.26E-06,0.137,0.279,145.186,4
Canyon City,Waves,45,262954,0.407,0.357,-11.659,0.0436,0.775,0.00105,0.94,0.253,112.207,4
Jonah Baker,Running Up That Hill (A Deal With God) - Acoustic,51,168042,0.385,0.134,-14.672,0.0476,0.899,0,0.113,0.427,203.816,4
Kurt Cobain,Poison's Gone,51,131800,0.429,0.258,-12.408,0.0317,0.868,0.888,0.108,0.0897,108.796,4
Masaharu Fukuyama,18 ~eighteen~,31,326600,0.609,0.76,-5.16,0.0283,0.131,0,0.41,0.44,117.135,4
Kina Grannis,Build Me Up Buttercup,48,166320,0.721,0.0963,-15.973,0.0502,0.945,1.03E-06,0.133,0.576,124.868,4
The Mayries,Umbrella - Acoustic Version,48,178319,0.675,0.278,-9.569,0.0343,0.845,0,0.114,0.353,123.962,4
Gabrielle Aplin,Home,51,249386,0.403,0.29,-10.262,0.0328,0.757,0,0.0972,0.248,139.482,4
Joshua Radin,You're My Home,55,200893,0.627,0.518,-7.178,0.0286,0.436,0,0.128,0.337,95.991,4
Masaharu Fukuyama,vs.2013 ~知覚と快楽の螺旋~,32,292493,0.403,0.925,-3.166,0.0537,0.000435,0.755,0.323,0.543,169.978,4
Ysabelle Cuevas,I Like Me Better,54,189673,0.449,0.209,-14.494,0.0896,0.896,0,0.156,0.431,93.618,4
Jason Mraz,The Remedy (I Won't Worry),60,256440,0.589,0.867,-4.523,0.0385,0.041,0,0.306,0.795,94.52,4
Bailey Pelkman;Randy Rektor,Something Stupid,47,147809,0.789,0.261,-14.396,0.0456,0.803,0,0.0962,0.491,117.961,4
Ethan Loukas;Janine Teñoso,Hanap-Hanap,29,246644,0.663,0.239,-9.517,0.0308,0.827,0,0.109,0.488,83.102,4
John Frusciante,The Will To Death,51,228426,0.498,0.113,-16.097,0.0333,0.691,0.000287,0.108,0.296,168.383,4
Adam Christopher,Boulevard of Broken Dreams (Acoustic),41,207400,0.586,0.149,-13.369,0.0348,0.881,0,0.187,0.341,75.121,4
Kina Grannis,Can't Help Falling In Love,48,188354,0.444,0.143,-11.449,0.0302,0.925,6.92E-05,0.118,0.132,100.341,3
Penny and Sparrow,Eloise,61,168712,0.606,0.415,-8.317,0.0475,0.695,0.00149,0.174,0.405,137.775,4
Sonny Boy Williamson II,Help Me,60,188200,0.745,0.436,-9.617,0.043,0.597,0.0213,0.61,0.771,114.216,4
Shannon & Keast,Everytime We Touch (Acoustic),45,181496,0.526,0.139,-11.316,0.0325,0.879,0,0.109,0.203,100.852,4
Ray LaMontagne,Let It Be Me,58,280226,0.614,0.283,-8.008,0.027,0.472,0,0.114,0.331,107.673,3
Mia Rollo,Beer,29,254306,0.473,0.493,-6.733,0.0302,0.84,6.57E-06,0.0915,0.54,169.998,4
Boyce Avenue,Someone Like You,57,276146,0.439,0.207,-9.573,0.0297,0.608,0,0.186,0.264,136.514,4
Suy Galvez,You've Got a Friend,29,274720,0.665,0.487,-9.409,0.0243,0.639,6.75E-05,0.091,0.326,94.978,4
JJ Heller,This Little Light of Mine,49,159820,0.534,0.26,-12.406,0.0319,0.834,0.00405,0.102,0.151,113.877,4
Takehara Pistol,Amazing Grace,30,178573,0.457,0.26,-7.952,0.0406,0.0594,0,0.346,0.38,106.756,4
Days N Daze,Remnants of What People Used to Be,30,175046,0.5,0.611,-10.826,0.0788,0.834,1.41E-05,0.241,0.894,88.372,4
AJJ,Linda Ronstadt,31,180771,0.448,0.516,-7.449,0.0292,0.341,0.00497,0.0929,0.29,100.672,4
SANNA NORTH,Unsteady - Acoustic Covers Versions of Popular Songs,29,191052,0.699,0.343,-6.052,0.0296,0.506,0,0.56,0.383,114.021,4
Brandi Carlile,Heart's Content,59,214666,0.564,0.209,-8.922,0.0317,0.724,3.99E-05,0.107,0.402,109.024,4
The Bridge City Sinners,The Damned,30,167466,0.404,0.577,-8.272,0.0294,0.605,0.249,0.0712,0.637,112.215,3
Pigeon Pit,Hot Knives,30,252760,0.501,0.44,-8.167,0.0352,0.818,0,0.104,0.311,89.881,4
Get Dead,Nickel Plated,29,136815,0.461,0.893,-6.028,0.121,0.00323,0,0.654,0.4,179.92,4
Adam Christopher,Peaches - Acoustic,55,190909,0.675,0.243,-13.392,0.0413,0.797,0,0.214,0.707,142.87,4
A Great Big World,You,49,218133,0.505,0.31,-10.423,0.03,0.885,0.00359,0.0996,0.34,82.591,4
Andrew Belle,Swimmers,50,181093,0.547,0.599,-8.174,0.0301,0.00396,0.409,0.0847,0.0571,120.054,4
Kris Allen,Live Like We're Dying,55,212506,0.589,0.893,-2.948,0.0397,0.0273,0,0.343,0.94,92.011,4
Lúc,Somebody That I Used To Know,49,172454,0.503,0.123,-14.312,0.0327,0.868,2.56E-05,0.111,0.343,183.571,4
Ben Woodward,Lost Without You,32,234046,0.611,0.534,-8.899,0.0744,0.423,0,0.145,0.38,159.985,4
Masayoshi Yamazaki,"One more time, One more chance",53,330200,0.55,0.408,-8.404,0.0318,0.719,0,0.11,0.331,129.152,4
The Mayries,you broke me first,46,190981,0.656,0.3,-9.905,0.0349,0.87,0,0.0956,0.369,120.006,4
Gabrielle Aplin,Skylight,23,240449,0.524,0.566,-5.443,0.0364,0.0411,0,0.25,0.362,159.914,4
Edy Hafler,Game of Thrones,41,89268,0.34,0.309,-12.98,0.05,0.855,0.903,0.168,0.153,176.899,3
The Perishers,Nothing Like You and I,49,213453,0.598,0.291,-8.627,0.0328,0.466,6.52E-05,0.12,0.38,123.978,4
Mat Kearney,Wanted Man,59,235106,0.514,0.319,-8.978,0.0941,0.805,0,0.211,0.677,203.651,4
The Mayries,Back To You,43,219976,0.448,0.256,-10.17,0.0483,0.875,0,0.113,0.174,77.272,4
Masaharu Fukuyama,何度でも花が咲くように私を生きよう,31,259493,0.441,0.423,-7.572,0.0282,0.839,0.000359,0.122,0.153,88.865,4
Boyce Avenue,Scared to Be Lonely,46,222052,0.636,0.169,-11.191,0.035,0.887,0,0.124,0.467,138.236,4
Kurt Cobain,Sappy - Early Demo,50,148573,0.445,0.289,-19.113,0.0329,0.437,0.00641,0.0988,0.172,104.006,4
Allman Brown,Ancient Light,41,244900,0.435,0.208,-15.75,0.0558,0.647,0.000921,0.147,0.189,69.027,4
Sara Farell;Simon Samaeng,I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version,48,232500,0.656,0.349,-6.841,0.0289,0.784,0,0.138,0.289,118.026,4
Andrew Foy;Renee Foy,Before You Go,36,195535,0.609,0.0866,-19.163,0.0412,0.912,0,0.113,0.411,167.892,3
Mat Kearney,Ships In The Night,44,255893,0.448,0.885,-3.755,0.0562,0.111,3.65E-06,0.0476,0.134,178.151,4
Joshua Radin,Only You,56,149013,0.545,0.255,-14.844,0.0311,0.362,1.77E-05,0.0841,0.831,98.088,4
Sakura Fujiwara,Waver,29,207933,0.626,0.682,-5.656,0.0397,0.277,0.000325,0.0985,0.636,75.02,4
JJ Heller,Missing Peace,52,238733,0.572,0.317,-9.108,0.0241,0.705,0.00385,0.528,0.38,78.009,4
Masaharu Fukuyama,聖域,31,236853,0.368,0.871,-3.032,0.0661,0.0356,0,0.149,0.636,107.721,4
Canyon City,Firework,47,182744,0.51,0.32,-10.371,0.0392,0.823,0.000193,0.124,0.425,92.385,4
Ray LaMontagne,Such A Simple Thing - Recorded at Sound Stage Studios Nashville,56,307534,0.55,0.334,-10.73,0.0288,0.517,0.000169,0.101,0.143,72.235,4
Eddie van der Meer,"Sad Theme (From ""One Punch Man"")",37,81000,0.487,0.162,-11.238,0.106,0.933,0.829,0.117,0.49,82.33,4
Gabrielle Aplin,Don't Know What I Want,24,145720,0.309,0.349,-8.402,0.0322,0.828,2.70E-06,0.0907,0.192,180.075,4
Gabrielle Aplin,Call Me,23,208400,0.38,0.468,-4.245,0.0318,0.243,0,0.0973,0.303,143.504,4
Suy Galvez,TRUE,28,287760,0.716,0.525,-8.733,0.027,0.647,0.00868,0.0893,0.423,96.993,4
Boyce Avenue;Rachel Grae,I Can't Make You Love Me,51,243680,0.407,0.222,-7.991,0.0324,0.853,2.03E-06,0.11,0.204,123.618,4
Tristan Prettyman,Say Anything,51,236379,0.657,0.43,-10.202,0.0314,0.534,0.000238,0.12,0.335,91.967,4
Matt Nathanson,All We Are,51,216933,0.534,0.492,-8.905,0.0261,0.584,1.12E-06,0.185,0.328,82.465,3
Joshua Hyslop,Gentle Heart,50,265173,0.603,0.374,-10.875,0.0258,0.256,0.0356,0.127,0.542,135.946,4
Masaharu Fukuyama,All My Loving (Original Version),31,245800,0.725,0.746,-8.214,0.0338,0.00721,0,0.0575,0.656,102.87,4
Masayoshi Yamazaki,アンダルシアに憧れて,30,358040,0.448,0.755,-5.719,0.0429,0.028,0,0.273,0.575,156.045,4
Masaharu Fukuyama,想 -new love new world-,31,280546,0.595,0.879,-4.849,0.0405,0.0319,0,0.344,0.839,124.784,4
Drei Rana,Last Christmas,29,230915,0.686,0.285,-10.912,0.0291,0.689,0,0.129,0.672,103.995,4
Trevor Hall,Green Mountain State,61,274632,0.693,0.367,-11.66,0.0323,0.351,2.90E-05,0.111,0.286,129.879,4
Maris Racal,Di Papakawalan,28,244528,0.71,0.402,-9.91,0.0274,0.873,0.232,0.103,0.136,106.024,4
The Weepies;Deb Talan;Steve Tannen,Can't Go Back Now,55,137880,0.691,0.552,-9.114,0.0264,0.497,0.000589,0.197,0.685,119.931,4
Hanare Gumi,ウイスキーが、お好きでしょ,29,152100,0.642,0.237,-16.142,0.0387,0.724,1.71E-06,0.0574,0.694,137.4,4
Days N Daze,Ditches,30,162282,0.48,0.77,-3.547,0.0542,0.397,0,0.254,0.744,126.225,4
Eric Hutchinson,Outside Villanova,29,255680,0.785,0.732,-6.177,0.0513,0.059,3.74E-06,0.524,0.798,137.946,4
Apes of the State,Timeline,30,216894,0.668,0.304,-9.415,0.0354,0.811,0,0.0826,0.567,112.338,4
Gail Blanco,I'll Never Fall in Love Again,29,239000,0.758,0.406,-10.474,0.0306,0.901,4.30E-05,0.0908,0.383,109.984,4
The Bridge City Sinners,Stray Cat Strut,29,128731,0.49,0.749,-2.244,0.0649,0.389,0,0.0792,0.739,144.87,4
Days N Daze,Goodbye Lulu Pt.2,30,381910,0.389,0.864,-3.218,0.117,0.0362,6.31E-06,0.193,0.548,98.11,3
Days N Daze,Days n Daze of Our Lives,29,196161,0.387,0.524,-9.633,0.0493,0.777,5.74E-06,0.718,0.858,95.623,4
Get Dead,8 Track,28,156533,0.408,0.974,-5.501,0.15,8.77E-05,0,0.278,0.578,197.008,4
Jonah Baker,Ghost - Acoustic,42,155050,0.486,0.0745,-14.271,0.0599,0.922,0,0.104,0.396,145.912,4
Eden Elf;Ren Avel,4am,49,125677,0.638,0.329,-13.683,0.0422,0.979,0.0597,0.338,0.475,94.125,4
Adam Christopher;Dan Berk,"10,000 Hours - Acoustic",53,169058,0.522,0.382,-6.765,0.031,0.389,0,0.133,0.519,169.861,4
Amber Leigh Irish,Yellow - Acoustic,50,196724,0.49,0.204,-10.992,0.0315,0.901,0,0.0893,0.373,167.573,4
Lúc,No Air,52,199114,0.674,0.116,-13.448,0.0375,0.862,0,0.0979,0.21,129.976,4
Anna Hamilton,Self Help,36,156923,0.778,0.445,-8.228,0.0468,0.45,1.28E-06,0.119,0.502,130.01,4
Lee DeWyze,Blackbird Song,49,254615,0.259,0.195,-13.639,0.0331,0.264,0.433,0.352,0.183,146.011,4
Jonah Baker,Easy On Me - Acoustic,40,222186,0.408,0.095,-18.102,0.0397,0.948,0,0.106,0.357,137.546,4
Bailey Rushlow,Chasing Cars - Acoustic,51,236298,0.663,0.26,-9.587,0.0303,0.865,0,0.101,0.243,107.931,4
Emilie Mover,Can't Take My Eyes Off of You,41,203024,0.625,0.818,-6.296,0.0669,0.0516,1.13E-05,0.132,0.307,123.905,4
William Fitzsimmons,Fortune - Acoustic,55,228013,0.529,0.0546,-23.684,0.0364,0.924,0.0428,0.108,0.517,78.451,4
Vivid Color,Lot To Learn,52,226470,0.57,0.468,-4.192,0.047,0.758,0,0.206,0.335,137.855,4
Bailey Jehl,Apologize,51,181596,0.566,0.168,-12.483,0.0372,0.812,0,0.125,0.238,116.286,4
Zack Tabudlo,First & Last,49,192631,0.598,0.249,-10.847,0.0603,0.194,0,0.0892,0.292,113.829,3
Albert Collins,"Cold, Cold Feeling",54,318840,0.713,0.281,-11.057,0.0379,0.137,0.0258,0.111,0.397,148.301,3
Phillip LaRue,Sweet Love,46,267862,0.547,0.328,-11.118,0.0321,0.163,0.0926,0.0884,0.186,139.959,4
Us The Duo,Shotgun,45,174884,0.806,0.263,-10.43,0.0502,0.787,0,0.182,0.868,115.854,4
Masaharu Fukuyama,HEY!,30,347200,0.548,0.889,-6.106,0.0309,0.0324,0,0.359,0.789,95.289,4
Jason Mraz,Have It All,53,226098,0.643,0.617,-4.95,0.041,0.194,0,0.0989,0.592,82.029,4
The Perishers,Trouble Sleeping,48,282133,0.428,0.813,-4.478,0.025,0.0622,0.00388,0.154,0.347,91.053,4
Jon McLaughlin,Beautiful Disaster,52,251640,0.432,0.664,-4.662,0.0302,0.215,0,0.15,0.294,156.216,4
Sara Bareilles,Breathe Again,51,298280,0.366,0.482,-7.9,0.0278,0.288,0.00655,0.117,0.278,169.677,4
Ray LaMontagne,Trouble,59,241546,0.325,0.424,-12.733,0.0438,0.341,0.000267,0.23,0.494,173.352,3
Boyce Avenue,Memories,53,197170,0.46,0.195,-12.093,0.0459,0.867,1.65E-05,0.112,0.384,176.119,4
Tyrone Wells,Sink Or Swim,47,178093,0.613,0.812,-3.524,0.0355,0.259,0,0.185,0.394,119.979,4
EJ De Perio,Tama Na,28,230545,0.492,0.33,-8.967,0.0285,0.266,0,0.297,0.109,132.005,4
Beyond The Guitar,"He's A Pirate (From ""Pirates of the Caribbean"")",30,163813,0.57,0.454,-7.613,0.0987,0.881,0.889,0.0983,0.381,101.476,4
Yosui Inoue,能古島の片想い - Remastered 2018,29,212080,0.494,0.465,-6.095,0.027,0.705,0,0.0693,0.275,132.501,4
Zee Avi,Bitter Heart,48,156773,0.74,0.377,-10.013,0.0583,0.65,0,0.178,0.408,78.988,4
Hannah's Yard,I Want to Know What Love Is - Acoustic,52,171486,0.49,0.263,-9.248,0.0462,0.92,0,0.103,0.361,73.834,4
Hanare Gumi,ハンキーパンキー,28,312133,0.465,0.211,-14.143,0.0384,0.812,0.00199,0.102,0.256,83.257,4
JJ Heller,Ordinary Days,51,248386,0.477,0.34,-11.666,0.0319,0.849,0.000488,0.0992,0.261,173.86,4
JJ Heller,Moon River,53,291386,0.411,0.191,-10.178,0.0308,0.916,0,0.1,0.155,74.92,3
Ben Rector,Forever Like That,52,254026,0.592,0.304,-9.833,0.0298,0.564,0,0.107,0.307,114.72,3
JJ Heller,Neighbor,42,236000,0.439,0.292,-10.92,0.0308,0.744,6.27E-05,0.0987,0.153,82.222,4
Takehara Pistol,一等賞,29,133840,0.659,0.83,-4.659,0.0445,0.588,0,0.111,0.937,127.014,4
Hanare Gumi,音タイム,29,229533,0.373,0.716,-7.358,0.0313,0.082,0.000239,0.105,0.374,134.764,4
Brandi Carlile,The Joke,60,279373,0.236,0.578,-5.477,0.0404,0.327,0.00015,0.206,0.227,75.367,4
Eddie Vedder,Toulumne,51,60306,0.337,0.287,-15.051,0.0332,0.898,0.978,0.12,0.393,107.031,4
Vendredi;Son&Dad,Just The Two Of Us - Acoustic,28,124742,0.462,0.424,-7.038,0.0301,0.883,0,0.147,0.564,97.675,4
Chris Cresswell,Arrythmic Palpitations,27,169000,0.51,0.485,-4.432,0.0334,0.612,5.08E-06,0.126,0.451,154.97,4
Chuck Ragan,The Boat,28,196213,0.56,0.755,-3.923,0.0278,0.286,0.000498,0.243,0.491,147.138,4
Albert King,Born Under A Bad Sign - Mono Mix,58,169997,0.711,0.483,-11.211,0.0298,0.434,0.012,0.0284,0.884,91.652,4
The Weepies;Deb Talan;Steve Tannen,Nobody Knows Me At All,54,120720,0.759,0.159,-13.035,0.0453,0.957,0.000472,0.103,0.329,115.945,3
Tim Vantol,Bitter Morning Taste,28,149274,0.38,0.396,-6.507,0.0366,0.202,0,0.133,0.192,103.621,4
Days N Daze,DBS Out,29,127033,0.598,0.599,-10.265,0.0823,0.326,1.49E-05,0.117,0.94,90.206,4
Vendredi;Son&Dad,Crazy - (Acoustic Mix),28,169404,0.651,0.425,-6.002,0.0309,0.879,4.54E-06,0.156,0.302,104.819,4
The Bridge City Sinners,Dungeon Song,28,202594,0.306,0.948,-2.877,0.0989,0.64,0,0.353,0.903,135.76,4
Chad Hates George,Can I Sleep On Your Floor??,28,125100,0.469,0.457,-10.102,0.0412,0.692,0,0.0531,0.893,84.064,4
Frank Turner,Josephine,28,202400,0.442,0.898,-4.662,0.0613,0.000158,4.11E-06,0.1,0.446,144.299,4
Ichiko Aoba,いきのこり●ぼくら,52,406103,0.592,0.0833,-16.517,0.0835,0.946,0.0791,0.0941,0.205,143.243,4
Boyce Avenue,Careless Whisper,46,247805,0.698,0.389,-6.246,0.0321,0.885,0,0.136,0.704,76.897,4
Aron Wright,Look After You,47,191765,0.396,0.293,-10.739,0.0367,0.732,0.116,0.102,0.199,145.556,3
Acoustic Guitar Collective,Perfect,39,192397,0.559,0.118,-16.34,0.0421,0.979,0.935,0.109,0.289,97.1,4
Kina Grannis,When the Party's Over,50,154732,0.52,0.171,-14.5,0.0423,0.853,0,0.174,0.23,123.565,3
Howie Day,Longest Night,43,215746,0.231,0.636,-7.257,0.0339,0.00402,0,0.0504,0.244,202.098,3
Andrew Foy;Renee Foy,Photograph,30,218590,0.807,0.0459,-19.883,0.0481,0.852,6.14E-06,0.102,0.275,110.512,4
Ciaran Lavery,Shame,53,251960,0.619,0.299,-7.744,0.0279,0.846,4.99E-05,0.243,0.31,115.405,4
Bailey Jehl,Iris,51,165223,0.605,0.316,-8.924,0.0319,0.869,2.87E-05,0.14,0.344,134.054,3
Jules Larson,Running Wild,31,228387,0.529,0.663,-7.036,0.0251,0.368,0.00225,0.107,0.223,96.991,4
Masaharu Fukuyama,彼方で,29,272320,0.459,0.57,-5.672,0.0293,0.199,0,0.137,0.361,72.978,4
Rosi Golan,Hazy (Featuring William Fitzsimmons),43,235960,0.515,0.0686,-17.61,0.0401,0.936,0.000129,0.117,0.33,113.185,5
Colin & Caroline,Let It Go,55,194129,0.46,0.319,-8.621,0.0356,0.861,0,0.118,0.329,145.765,4
Gen Hoshino,I Wanna Be Your Ghost (feat. Ghosts),50,225533,0.829,0.751,-4.937,0.0645,0.0142,0.014,0.0414,0.96,129.993,4
Masaharu Fukuyama,約束の丘,30,326413,0.524,0.852,-4.708,0.0298,0.0159,6.35E-06,0.112,0.635,92.748,4
Ingrid Michaelson,Young And In Love,46,208226,0.626,0.575,-7.507,0.0535,0.0694,3.34E-06,0.114,0.222,119.97,4
Jason Mraz,No Plans,46,148000,0.491,0.304,-9.379,0.0291,0.5,0,0.0975,0.459,149.288,4
Boyce Avenue,Easy on Me,52,260040,0.586,0.514,-6.267,0.0269,0.56,0.000347,0.122,0.27,142.021,4
Eddie Vedder;Cat Power,Tonight You Belong To Me,44,101539,0.653,0.174,-11.07,0.052,0.991,0.00248,0.106,0.611,138.981,3
Ysabelle Cuevas,Closer,51,178666,0.558,0.172,-13.379,0.0513,0.874,0,0.1,0.518,90.146,4
Boyce Avenue,One Last Breath,53,236800,0.45,0.335,-6.833,0.0301,0.788,1.66E-06,0.115,0.166,125.484,4
The Civil Wars,Devil's Backbone,47,149426,0.254,0.349,-10.02,0.0379,0.85,2.95E-05,0.234,0.303,170.214,3
Will Moore,Waltzing Matilda,48,148127,0.625,0.285,-13.819,0.0524,0.897,0.91,0.108,0.173,141.611,4
Ingrid Michaelson,Girls Chase Boys,56,221413,0.518,0.828,-5.725,0.04,0.03,1.33E-05,0.0456,0.69,84.835,4
Jason Mraz,The Woman I Love,48,190751,0.591,0.647,-8.34,0.0277,0.067,6.57E-05,0.231,0.678,79.68,4
C.W. Stoneking,The Love Me or Die,47,234600,0.609,0.53,-5.465,0.0648,0.84,2.02E-05,0.133,0.919,150.405,4
Masaharu Fukuyama,美しき花,29,330026,0.524,0.797,-6.611,0.0298,0.0567,0,0.0796,0.766,105.901,4
Suy Galvez,Isn't She Lovely,28,181466,0.71,0.646,-5.945,0.0313,0.789,3.75E-06,0.106,0.615,120.028,4
Mone Kamishiraishi,世界中の誰よりきっと,28,217466,0.578,0.636,-5.506,0.0342,0.0874,0,0.124,0.556,124.9,4
KT Tunstall,Black Horse And The Cherry Tree,67,172373,0.748,0.786,-7.788,0.0641,0.328,0,0.34,0.917,104.833,4
Johnnyswim,Drunks,29,279068,0.399,0.461,-10.694,0.0411,0.157,5.52E-05,0.116,0.205,96.591,4
Drew Holcomb;Ellie Holcomb;Drew Holcomb & The Neighbors,Coming Home,56,146360,0.625,0.81,-5.995,0.033,0.146,2.72E-05,0.135,0.741,104.066,4
Freddie King,I'm Tore Down,54,253333,0.64,0.496,-11.124,0.0413,0.616,4.63E-05,0.183,0.954,116.632,4
JJ Heller,Neighbor (Piano Version),25,236000,0.446,0.142,-12.119,0.0373,0.91,1.57E-06,0.0943,0.192,115.911,3
Ben Rector,I Will Always Be Yours,49,226826,0.444,0.771,-4.607,0.0485,0.13,0,0.273,0.45,148.028,4
Days N Daze,Nine on the Bortle,28,269139,0.408,0.685,-10.773,0.0754,0.84,0.0133,0.614,0.905,159.831,4
Frank Turner,Redemption,28,288133,0.658,0.678,-6.807,0.0284,0.00897,0,0.0914,0.63,131.976,4
KT Tunstall,Other Side Of The World,29,214560,0.427,0.695,-5.378,0.0343,0.487,0,0.0836,0.368,160.142,4
Eddie Vedder,Setting Forth,53,97866,0.549,0.78,-5.08,0.0291,0.0116,0,0.195,0.804,119.369,4
Frank Turner,Eulogy,28,94466,0.284,0.108,-9.352,0.0473,0.674,4.65E-06,0.204,0.282,148.956,3
Days N Daze,Tarnished Ol' Photograph,28,148035,0.522,0.403,-10.989,0.0358,0.642,0.00605,0.152,0.621,123.196,4
Marc Broussard,Rocksteady,28,243840,0.719,0.849,-4.233,0.0352,0.018,1.37E-06,0.0379,0.886,120.063,4
The Bridge City Sinners,Come on In,28,204926,0.544,0.911,-2.73,0.204,0.661,0,0.344,0.851,114.776,4
The Bridge City Sinners,Laugh While You Can,28,168118,0.672,0.879,-3.693,0.114,0.629,4.09E-06,0.169,0.74,119.996,4
Frank Turner,Untainted Love,28,174466,0.573,0.789,-5.435,0.05,0.000488,0.00965,0.126,0.332,128.077,4
Harley Poe,Whiny Bitch,28,272100,0.495,0.811,-3.1,0.0411,0.534,0.000286,0.136,0.9,173.56,4
Days N Daze;Juicy Karkass,I Wanna See It Burn,29,157000,0.48,0.6,-8.976,0.0398,0.24,0,0.533,0.944,92.545,4
Mindy Smith,I'll Be Home for Christmas,0,216093,0.57,0.427,-5.873,0.0296,0.368,1.73E-05,0.156,0.186,98.995,4
Mindy Smith,I'll Be Home for Christmas,0,216093,0.57,0.427,-5.873,0.0296,0.368,1.73E-05,0.156,0.186,98.995,4
Mindy Smith,It's Amazing,0,220213,0.612,0.484,-9.773,0.0319,0.643,0,0.118,0.254,138.961,4
Anya Marina,How Far Does the Dark Go?,32,245726,0.401,0.546,-5.846,0.0319,0.395,5.03E-05,0.12,0.15,89.331,4
Adam Christopher,THATS WHAT I WANT (Acoustic),35,172857,0.759,0.275,-10.707,0.0626,0.81,0,0.177,0.457,73.553,4
Hannah's Yard,Dynamite - Acoustic,49,155904,0.737,0.391,-7.934,0.068,0.807,0,0.367,0.836,93.936,4
SafetySuit,Never Stop (Wedding Version),52,175200,0.639,0.439,-7.157,0.0489,0.872,0,0.0918,0.51,133.87,4
Meiko,You're Mine (The Chase),31,208386,0.532,0.667,-7.065,0.0295,0.14,0.0194,0.193,0.67,144.901,4
Yosui Inoue;Tamio Okuda,パラレル・ラブ,28,246786,0.656,0.826,-3.929,0.0323,0.00453,3.65E-06,0.0791,0.894,117.648,4
Boyce Avenue;Hannah Trigwell,Let Her Go,48,219650,0.597,0.334,-8.559,0.0279,0.86,0,0.123,0.342,134.94,4
Canyon City,So Are We,48,252640,0.496,0.11,-15.584,0.042,0.911,1.44E-05,0.0829,0.235,145.277,4
